#A) Alla behöriga sökande är antagna B) Ingen sökande är antagen på programmet C) Antagning görs på meritvärde och test / inträdesprov
#E) Skolan har egen antagning F) Program startar ej G) Meritvärde består av betyg + prov
Hantverksprogrammet - Hår- och makeupstylist , Värnhemsskolan Malmö A 254.0
Hantverksprogrammet - Hår- och makeupstylist , Praktiska Malmö Limhamn A 229.0
Hantverksprogrammet - Hår- och makeupstylist , Drottning Blankas Gymnasieskola Malmö A 198.0
Hantverksprogrammet - Hår- och makeupstylist - lärling , Malmö Lärlingscenter A 187.0
Hantverksprogrammet - Låssmed , Praktiska Malmö Limhamn A 197.0
Hantverksprogrammet - Textil design , TAU Learning Hantverksgymnasium Malmö A 245.0
Hantverksprogrammet - Textil design - lärling , Malmö Lärlingscenter B
Hantverksprogrammet - Övriga hantverk - lärling , Malmö Lärlingscenter A 206.0
International Baccalaureate - PRE Diploma program , Bladins Internationella gymnasieskola C
International Baccalaureate Pre-DP , Malmö Borgarskola 242.5 297.0
Industritekniska programmet - lärling , Malmö Lärlingscenter B
Industritekniska programmet - Svetsteknik , Praktiska Malmö City B
Naturvetenskapsprogrammet - Särskild variant Musik, Malmö latinskola C 312.0
Naturvetenskapsprogrammet , ProCivitas Privata Gymnasium Malmö 310.0 324.0
Naturvetenskapsprogrammet - Naturvetenskap , Malmö latinskola 267.5 293.0
Naturvetenskapsprogrammet - Naturvetenskap , Hermods Gymnasium A 230.0
Naturvetenskapsprogrammet - Naturvetenskap , Malmö Borgarskola 260.0 284.0
Naturvetenskapsprogrammet - Naturvetenskap - Internationell, Malmö Borgarskola 252.5 288.0
Naturvetenskapsprogrammet - Naturvetenskap , Pauliskolan Malmö 197.5 237.0
Naturvetenskapsprogrammet - Naturvetenskap , Cybergymnasiet Malmö A 206.0
Naturvetenskapsprogrammet - Naturvetenskap , Fria Läroverken Malmö A 179.0
Naturvetenskapsprogrammet - Naturvetenskap - Idrottspecialisering, Fria Läroverken Malmö A 190.0
Naturvetenskapsprogrammet - Naturvetenskap - Klassisk, S:t Petri skola Malmö 272.5 297.0
Naturvetenskapsprogrammet - Naturvetenskap - Science, S:t Petri skola Malmö 297.5 314.0
Naturvetenskapsprogrammet - Naturvetenskap , Jensen Gymnasium Malmö 207.5 239.0
Naturvetenskapsprogrammet - Naturvetenskap - Idrott, Malmö Idrottsgymnasium A 280.0
Naturvetenskapsprogrammet - Naturvetenskap , Bladins gymnasium Malmö 272.5 298.0
Naturvetenskapsprogrammet - Naturvetenskap , Kunskapsgymnasiet Malmö A 226.0
Naturvetenskapsprogrammet - Naturvetenskap , Einar Hansengymnasiet Malmö 187.5 240.0
Naturvetenskapsprogrammet - Naturvetenskap , Thoren Business School Malmö 205.0 240.0
Naturvetenskapsprogrammet - Naturvetenskap och samhälle , Fria Läroverken Malmö B
Naturvetenskapsprogrammet - Naturvetenskap och samhälle - Idrottspecialisering, Fria Läroverken Malmö B
Naturvetenskapsprogrammet - Naturvetenskap och samhälle , Jensen Gymnasium Malmö A 203.0
Naturvetenskapsprogrammet - Naturvetenskap och samhälle , Thoren Business School Malmö A 209.0
Naturbruksprogrammet - Djur - Hund, Realgymnasiet Malmö A 189.0
Naturbruksprogrammet - Djur - Hästhållning, Realgymnasiet Malmö A 190.0
Naturbruksprogrammet - Djur - Djurvård, Realgymnasiet Malmö A 234.0
