Bygg- och anläggningsprogrammet , PEAB-skolan Malmö 107.5 176.0
Hantverksprogrammet - Hår- och makeupstylist , Drottning Blankas Gymnasieskola Malmö 95.00 195.0
Hantverksprogrammet - Hår- och makeupstylist - lärling , Malmö Lärlingscenter A 159.0
Hantverksprogrammet - Låssmed , Praktiska Malmö Limhamn A 184.0
Hantverksprogrammet - Textil design , TAU Learning Hantverksgymnasium Malmö A 189.0
Hantverksprogrammet - Textil design - lärling , Malmö Lärlingscenter B
Hantverksprogrammet - Övriga hantverk - lärling , Malmö Lärlingscenter A 198.0
International Baccalaureate - PRE Diploma program , Bladins Internationella gymnasieskola C
International Baccalaureate Pre-DP , Malmö Borgarskola 260.0 309.0
Industritekniska programmet - Svetsteknik , Praktiska Malmö City A 133.0
Naturvetenskapsprogrammet - Särskild variant Musik, Malmö latinskola C 312.0
Naturvetenskapsprogrammet , ProCivitas Privata Gymnasium Malmö 322.5 333.0
Naturvetenskapsprogrammet - Naturvetenskap , Malmö latinskola 282.5 312.0
Naturvetenskapsprogrammet - Naturvetenskap , Hermods Gymnasium 210.0 248.0
Naturvetenskapsprogrammet - Naturvetenskap , Malmö Borgarskola 275.0 299.0
Naturvetenskapsprogrammet - Naturvetenskap - Internationell, Malmö Borgarskola 275.0 301.0
Naturvetenskapsprogrammet - Naturvetenskap , Pauliskolan Malmö 225.0 256.0
Naturvetenskapsprogrammet - Naturvetenskap , Cybergymnasiet Malmö A 195.0
Naturvetenskapsprogrammet - Naturvetenskap , Fria Läroverken Malmö A 181.0
Naturvetenskapsprogrammet - Naturvetenskap - Idrottspecialisering, Fria Läroverken Malmö A 222.0
Naturvetenskapsprogrammet - Naturvetenskap - Klassisk, S:t Petri skola Malmö 292.5 316.0
Naturvetenskapsprogrammet - Naturvetenskap - Science, S:t Petri skola Malmö 315.0 327.0
Naturvetenskapsprogrammet - Naturvetenskap , Jensen Gymnasium Malmö 227.5 258.0
Naturvetenskapsprogrammet - Naturvetenskap - Idrott, Malmö Idrottsgymnasium A 281.0
Naturvetenskapsprogrammet - Naturvetenskap , Bladins gymnasium Malmö 287.5 310.0
Naturvetenskapsprogrammet - Naturvetenskap , Kunskapsgymnasiet Malmö A 223.0
Naturvetenskapsprogrammet - Naturvetenskap , Einar Hansengymnasiet Malmö 217.5 257.0
Naturvetenskapsprogrammet - Naturvetenskap , Thoren Business School Malmö 237.5 256.0
Naturvetenskapsprogrammet - Naturvetenskap och samhälle , Fria Läroverken Malmö B
Naturvetenskapsprogrammet - Naturvetenskap och samhälle - Idrottspecialisering, Fria Läroverken Malmö B
Naturvetenskapsprogrammet - Naturvetenskap och samhälle , Jensen Gymnasium Malmö A 205.0
Naturvetenskapsprogrammet - Naturvetenskap och samhälle , Thoren Business School Malmö 215.0 255.0
Naturbruksprogrammet - Djur - Hund, Realgymnasiet Malmö A 172.0
Naturbruksprogrammet - Djur - Hästhållning, Realgymnasiet Malmö A 200.0
Naturbruksprogrammet - Djur - Djurvård, Realgymnasiet Malmö A 217.0
Naturbruksprogrammet - Djur , Praktiska Malmö Limhamn A 169.0
Naturbruksprogrammet - Djur - lärling - Trav och galopp, Malmö Lärlingscenter A 220.0
Naturbruksprogrammet - Skog - Natur och Äventyr, Realgymnasiet Malmö A 200.0
Restaurang- och livsmedelsprogrammet , Värnhemsskolan Malmö A 191.0
Restaurang- och livsmedelsprogrammet - lärling , Malmö Lärlingscenter A 156.0
Samhällsvetenskapsprogrammet , Hermods Gymnasium 197.5 241.0
Samhällsvetenskapsprogrammet , Plusgymnasiet Malmö A 184.0
Samhällsvetenskapsprogrammet , Thoren Business School Malmö 200.0 223.0
Samhällsvetenskapsprogrammet - Idrott, ProCivitas Privata Gymnasium Malmö 237.5 278.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Pauliskolan Malmö 230.0 255.0
Samhällsvetenskapsprogrammet - Beteendevetenskap - Bernadottegymnasiet, Pauliskolan Malmö 190.0 228.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , 4ans gymnasium Malmö A 202.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Cybergymnasiet Malmö A 189.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Fria Läroverken Malmö A 214.0
Samhällsvetenskapsprogrammet - Beteendevetenskap - Idrottspecialisering, Fria Läroverken Malmö A 227.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , S:t Petri skola Malmö 282.5 303.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Jensen Gymnasium Malmö A 197.0
Samhällsvetenskapsprogrammet - Beteendevetenskap - Idrott, Malmö Idrottsgymnasium A 243.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Kunskapsgymnasiet Malmö A 188.0
Samhällsvetenskapsprogrammet - Beteendevetenskap , Einar Hansengymnasiet Malmö 215.0 242.0
Samhällsvetenskapsprogrammet - Beteendevetenskap - Kriminologi, Drottning Blankas Gymnasieskola Malmö 185.0 223.0
Samhällsvetenskapsprogrammet - Medier, information och kommunikation , Malmö latinskola 232.5 258.0
Samhällsvetenskapsprogrammet - Medier, information och kommunikation , 4ans gymnasium Malmö A 257.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Malmö latinskola 245.0 277.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Malmö Borgarskola 247.5 269.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap - Engelskspråkig, Malmö Borgarskola 260.0 275.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Pauliskolan Malmö 207.5 223.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , 4ans gymnasium Malmö B
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Cybergymnasiet Malmö A 206.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , Fria Läroverken Malmö 175.0 186.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap - Idrottspecialisering, Fria Läroverken Malmö 230.0 234.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap , S:t Petri skola Malmö 272.5 292.0
Samhällsvetenskapsprogrammet - Samhällsvetenskap - För elev med neuropsyk. funktionsnedsättning, Snitz gymnasium Malmö B
